Country,Year,Season,Bronze,Silver,Gold,Total points
JPN,2008,Summer,13,15,23,173
GER,2008,Summer,41,16,42,299
TUR,2008,Summer,3,3,1,17
CIV,2008,Summer,0,0,0,0
KAZ,2008,Summer,7,4,2,29
RUS,2008,Summer,53,46,43,406
SWE,2008,Summer,2,5,0,17
POR,2008,Summer,0,1,1,8
ANG,2008,Summer,0,0,0,0
IRI,2008,Summer,1,0,1,6
BAN,2008,Summer,0,0,0,0
NGR,2008,Summer,7,16,0,55
ROU,2008,Summer,16,1,5,44
VEN,2008,Summer,1,0,0,1
IND,2008,Summer,2,0,1,7
GBR,2008,Summer,25,25,31,255
TUN,2008,Summer,0,0,1,5
ARG,2008,Summer,31,0,20,131
MEX,2008,Summer,2,0,2,12
CUB,2008,Summer,11,34,2,123
MRI,2008,Summer,1,0,0,1
POL,2008,Summer,1,13,6,70
NZL,2008,Summer,9,2,4,35
LBR,2008,Summer,0,0,0,0
ETH,2008,Summer,2,1,4,25
NEP,2008,Summer,0,0,0,0
ARM,2008,Summer,6,0,0,6
NED,2008,Summer,4,18,39,253
BRA,2008,Summer,30,34,14,202
UKR,2008,Summer,16,5,10,81
ASA,2008,Summer,0,0,0,0
BEL,2008,Summer,0,4,1,17
GRE,2008,Summer,4,3,0,13
AUT,2008,Summer,2,1,0,5
SEY,2008,Summer,0,0,0,0
DOM,2008,Summer,0,1,1,8
NCA,2008,Summer,0,0,0,0
PAR,2008,Summer,0,0,0,0
COM,2008,Summer,0,0,0,0
NAM,2008,Summer,0,0,0,0
BER,2008,Summer,0,0,0,0
SAM,2008,Summer,0,0,0,0
CYP,2008,Summer,0,0,0,0
KEN,2008,Summer,5,4,6,47
KSA,2008,Summer,0,0,0,0
KUW,2008,Summer,0,0,0,0
BRN,2008,Summer,0,0,0,0
SYR,2008,Summer,0,0,0,0
OMA,2008,Summer,0,0,0,0
YEM,2008,Summer,0,0,0,0
JOR,2008,Summer,0,0,0,0
UAE,2008,Summer,0,0,0,0
FIN,2008,Summer,2,2,1,13
JAM,2008,Summer,6,3,5,40
LTU,2008,Summer,3,2,0,9
BUL,2008,Summer,3,1,1,11
VIN,2008,Summer,0,0,0,0
NIG,2008,Summer,0,0,0,0
LBA,2008,Summer,0,0,0,0
CMR,2008,Summer,0,0,1,5
DJI,2008,Summer,0,0,0,0
BIH,2008,Summer,0,0,0,0
GUM,2008,Summer,0,0,0,0
CRO,2008,Summer,3,2,0,9
BAR,2008,Summer,0,0,0,0
CHI,2008,Summer,0,1,0,3
HON,2008,Summer,0,0,0,0
COL,2008,Summer,1,1,0,4
UZB,2008,Summer,3,2,1,14
BAH,2008,Summer,1,6,0,19
MAS,2008,Summer,0,1,0,3
GHA,2008,Summer,0,0,0,0
KOR,2008,Summer,26,11,41,264
DEN,2008,Summer,6,7,6,57
MAD,2008,Summer,0,0,0,0
PHI,2008,Summer,0,0,0,0
CZE,2008,Summer,0,4,3,27
CHN,2008,Summer,57,53,74,586
TKM,2008,Summer,0,0,0,0
LAT,2008,Summer,1,1,1,9
IRL,2008,Summer,2,1,0,5
THA,2008,Summer,0,2,2,16
GUA,2008,Summer,0,0,0,0
ESA,2008,Summer,0,0,0,0
TTO,2008,Summer,0,1,5,28
HUN,2008,Summer,3,8,16,107
ISL,2008,Summer,0,14,0,42
PUR,2008,Summer,0,0,0,0
SUI,2008,Summer,7,1,3,25
TJK,2008,Summer,1,1,0,4
MLT,2008,Summer,0,0,0,0
HKG,2008,Summer,0,0,0,0
HAI,2008,Summer,0,0,0,0
ISR,2008,Summer,1,0,0,1
AFG,2008,Summer,1,0,0,1
SEN,2008,Summer,0,0,0,0
MGL,2008,Summer,0,2,2,16
MLI,2008,Summer,0,0,0,0
GAB,2008,Summer,0,0,0,0
ECU,2008,Summer,0,1,0,3
ANT,2008,Summer,0,0,0,0
CGO,2008,Summer,0,0,0,0
BOT,2008,Summer,0,0,0,0
ZIM,2008,Summer,0,3,1,14
PER,2008,Summer,0,0,0,0
ISV,2008,Summer,0,0,0,0
GUI,2008,Summer,0,0,0,0
SVK,2008,Summer,1,5,4,36
GRN,2008,Summer,0,0,0,0
UGA,2008,Summer,0,0,0,0
TAN,2008,Summer,0,0,0,0
LCA,2008,Summer,0,0,0,0
GEO,2008,Summer,3,0,3,18
ALB,2008,Summer,0,0,0,0
AND,2008,Summer,0,0,0,0
SRB,2008,Summer,14,1,0,17
SLE,2008,Summer,0,0,0,0
LUX,2008,Summer,0,0,0,0
PAN,2008,Summer,0,0,1,5
PNG,2008,Summer,0,0,0,0
STP,2008,Summer,0,0,0,0
CAF,2008,Summer,0,0,0,0
TOG,2008,Summer,1,0,0,1
SLO,2008,Summer,2,2,1,13
MDA,2008,Summer,1,0,0,1
CRC,2008,Summer,0,0,0,0
MNE,2008,Summer,0,0,0,0
URU,2008,Summer,0,0,0,0
SMR,2008,Summer,0,0,0,0
FIJ,2008,Summer,0,0,0,0
GUY,2008,Summer,0,0,0,0
ZAM,2008,Summer,0,0,0,0
SGP,2008,Summer,0,3,0,9
BOL,2008,Summer,0,0,0,0
MOZ,2008,Summer,0,0,0,0
MTN,2008,Summer,0,0,0,0
PRK,2008,Summer,3,1,2,16
TPE,2008,Summer,4,0,0,4
MAW,2008,Summer,0,0,0,0
INA,2008,Summer,3,2,2,19
LAO,2008,Summer,0,0,0,0
SKN,2008,Summer,0,0,0,0
MHL,2008,Summer,0,0,0,0
CPV,2008,Summer,0,0,0,0
GBS,2008,Summer,0,0,0,0
FSM,2008,Summer,0,0,0,0
BEN,2008,Summer,0,0,0,0
AHO,2008,Summer,0,0,0,0
BHU,2008,Summer,0,0,0,0
NRU,2008,Summer,0,0,0,0
MON,2008,Summer,0,0,0,0
RWA,2008,Summer,0,0,0,0
SWZ,2008,Summer,0,0,0,0
VIE,2008,Summer,0,1,0,3
PLW,2008,Summer,0,0,0,0
TUV,2008,Summer,0,0,0,0
BIZ,2008,Summer,0,0,0,0
CAY,2008,Summer,0,0,0,0
LIE,2008,Summer,0,0,0,0
LIB,2008,Summer,0,0,0,0
SOL,2008,Summer,0,0,0,0
IVB,2008,Summer,0,0,0,0
COK,2008,Summer,0,0,0,0
CAM,2008,Summer,0,0,0,0
DMA,2008,Summer,0,0,0,0
MDV,2008,Summer,0,0,0,0
SOM,2008,Summer,0,0,0,0
GAM,2008,Summer,0,0,0,0
SRI,2008,Summer,0,0,0,0
VAN,2008,Summer,0,0,0,0
KIR,2008,Summer,0,0,0,0
COD,2008,Summer,0,0,0,0
LES,2008,Summer,0,0,0,0
MYA,2008,Summer,0,0,0,0
TGA,2008,Summer,0,0,0,0
GEQ,2008,Summer,0,0,0,0
CHA,2008,Summer,0,0,0,0
MKD,2008,Summer,0,0,0,0
SUR,2008,Summer,0,0,0,0
BUR,2008,Summer,0,0,0,0
BDI,2008,Summer,0,0,0,0
ARU,2008,Summer,0,0,0,0
TLS,2008,Summer,0,0,0,0
CHN,2012,Summer,29,40,56,429
FRA,2012,Summer,22,30,30,262
MAR,2012,Summer,1,0,0,1
RUS,2012,Summer,51,39,50,418
ARG,2012,Summer,3,15,1,53
ITA,2012,Summer,30,22,16,176
ALG,2012,Summer,0,0,1,5
PAK,2012,Summer,0,0,0,0
IRI,2012,Summer,3,5,4,38
EGY,2012,Summer,0,2,0,6
AUS,2012,Summer,59,37,18,260
USA,2012,Summer,46,57,145,942
CMR,2012,Summer,0,0,0,0
IRQ,2012,Summer,0,0,0,0
UZB,2012,Summer,2,0,1,7
AZE,2012,Summer,6,2,2,22
UAE,2012,Summer,0,0,0,0
KGZ,2012,Summer,0,0,0,0
TJK,2012,Summer,1,0,0,1
CAN,2012,Summer,33,21,1,101
CUB,2012,Summer,6,3,5,40
ESP,2012,Summer,25,33,5,149
JPN,2012,Summer,33,44,7,200
NGR,2012,Summer,0,0,0,0
POR,2012,Summer,0,2,0,6
SUI,2012,Summer,0,2,2,16
COL,2012,Summer,4,3,1,18
ETH,2012,Summer,3,1,3,21
JOR,2012,Summer,0,0,0,0
PLE,2012,Summer,0,0,0,0
KAZ,2012,Summer,5,1,7,43
GBR,2012,Summer,48,30,48,378
UGA,2012,Summer,0,0,1,5
TUN,2012,Summer,1,1,1,9
NED,2012,Summer,19,29,21,211
MEX,2012,Summer,3,5,16,98
VEN,2012,Summer,0,0,1,5
POL,2012,Summer,8,2,2,24
NIG,2012,Summer,0,0,0,0
SKN,2012,Summer,0,0,0,0
NZL,2012,Summer,15,3,9,69
GER,2012,Summer,22,27,45,328
LBR,2012,Summer,0,0,0,0
ERI,2012,Summer,0,0,0,0
BRA,2012,Summer,11,34,14,183
SWE,2012,Summer,3,17,2,64
BEL,2012,Summer,2,1,0,5
MAS,2012,Summer,1,1,0,4
GRE,2012,Summer,3,0,0,3
ROU,2012,Summer,6,8,2,40
RWA,2012,Summer,0,0,0,0
TOG,2012,Summer,0,0,0,0
PAR,2012,Summer,0,0,0,0
URU,2012,Summer,0,0,0,0
COM,2012,Summer,0,0,0,0
INA,2012,Summer,1,1,0,4
MDV,2012,Summer,0,0,0,0
BEN,2012,Summer,0,0,0,0
CIV,2012,Summer,0,0,0,0
NAM,2012,Summer,0,0,0,0
EST,2012,Summer,1,1,0,4
TTO,2012,Summer,5,4,1,22
LTU,2012,Summer,2,1,2,15
UKR,2012,Summer,12,5,9,72
VIN,2012,Summer,0,0,0,0
TUR,2012,Summer,1,2,2,17
CYP,2012,Summer,0,1,0,3
KSA,2012,Summer,4,0,0,4
KUW,2012,Summer,1,0,0,1
QAT,2012,Summer,2,0,0,2
BRN,2012,Summer,1,0,0,1
YEM,2012,Summer,0,0,0,0
OMA,2012,Summer,0,0,0,0
SUD,2012,Summer,0,0,0,0
FIN,2012,Summer,4,1,0,7
FIJ,2012,Summer,0,0,0,0
VAN,2012,Summer,0,0,0,0
JAM,2012,Summer,8,9,8,75
GUA,2012,Summer,0,1,0,3
PUR,2012,Summer,1,1,0,4
BUL,2012,Summer,1,1,0,4
ARM,2012,Summer,2,1,0,5
LAT,2012,Summer,2,0,1,7
SRB,2012,Summer,14,1,1,22
BLR,2012,Summer,8,12,3,59
IVB,2012,Summer,0,0,0,0
ESA,2012,Summer,0,0,0,0
MAD,2012,Summer,0,0,0,0
DJI,2012,Summer,0,0,0,0
CRO,2012,Summer,16,4,15,103
PHI,2012,Summer,0,0,0,0
SEY,2012,Summer,0,0,0,0
BAR,2012,Summer,0,0,0,0
ECU,2012,Summer,0,0,0,0
ANG,2012,Summer,0,0,0,0
NOR,2012,Summer,1,1,15,79
CRC,2012,Summer,0,0,0,0
AUT,2012,Summer,0,0,0,0
BAH,2012,Summer,0,0,4,20
GHA,2012,Summer,0,0,0,0
PRK,2012,Summer,2,0,4,22
DEN,2012,Summer,8,5,3,38
KEN,2012,Summer,5,4,2,27
IRL,2012,Summer,3,1,1,11
MGL,2012,Summer,3,2,0,9
SLO,2012,Summer,3,1,1,11
PLW,2012,Summer,0,0,0,0
HUN,2012,Summer,6,8,12,90
IND,2012,Summer,4,2,0,10
CZE,2012,Summer,6,4,4,38
RSA,2012,Summer,1,2,6,37
CHI,2012,Summer,0,0,0,0
THA,2012,Summer,1,2,0,7
DOM,2012,Summer,0,1,1,8
PER,2012,Summer,0,0,0,0
ISL,2012,Summer,0,0,0,0
ISR,2012,Summer,0,0,0,0
MRI,2012,Summer,0,0,0,0
MDA,2012,Summer,2,0,0,2
GUM,2012,Summer,0,0,0,0
HKG,2012,Summer,1,0,0,1
GAB,2012,Summer,0,1,0,3
MYA,2012,Summer,0,0,0,0
AFG,2012,Summer,1,0,0,1
SEN,2012,Summer,0,0,0,0
LIB,2012,Summer,0,0,0,0
KOR,2012,Summer,30,13,18,159
ANT,2012,Summer,0,0,0,0
CGO,2012,Summer,0,0,0,0
BOL,2012,Summer,0,0,0,0
MON,2012,Summer,0,0,0,0
SYR,2012,Summer,0,0,0,0
GUI,2012,Summer,0,0,0,0
SVK,2012,Summer,4,1,0,7
GUY,2012,Summer,0,0,0,0
TKM,2012,Summer,0,0,0,0
LCA,2012,Summer,0,0,0,0
ALB,2012,Summer,0,0,0,0
HON,2012,Summer,0,0,0,0
SAM,2012,Summer,0,0,0,0
AND,2012,Summer,0,0,0,0
GRN,2012,Summer,0,0,1,5
BDI,2012,Summer,0,0,0,0
MKD,2012,Summer,0,0,0,0
GEO,2012,Summer,3,3,1,17
IOA,2012,Summer,0,0,0,0
MLT,2012,Summer,0,0,0,0
CAF,2012,Summer,0,0,0,0
NCA,2012,Summer,0,0,0,0
MNE,2012,Summer,0,14,0,42
COK,2012,Summer,0,0,0,0
BOT,2012,Summer,0,1,0,3
BER,2012,Summer,0,0,0,0
BAN,2012,Summer,0,0,0,0
LUX,2012,Summer,0,0,0,0
MOZ,2012,Summer,0,0,0,0
MLI,2012,Summer,0,0,0,0
PAN,2012,Summer,0,0,0,0
CAM,2012,Summer,0,0,0,0
TPE,2012,Summer,1,1,0,4
SGP,2012,Summer,4,0,0,4
BHU,2012,Summer,0,0,0,0
ZAM,2012,Summer,0,0,0,0
VIE,2012,Summer,0,0,0,0
GAM,2012,Summer,0,0,0,0
SRI,2012,Summer,0,0,0,0
ZIM,2012,Summer,0,0,0,0
STP,2012,Summer,0,0,0,0
GBS,2012,Summer,0,0,0,0
FSM,2012,Summer,0,0,0,0
KIR,2012,Summer,0,0,0,0
HAI,2012,Summer,0,0,0,0
NRU,2012,Summer,0,0,0,0
NEP,2012,Summer,0,0,0,0
LBA,2012,Summer,0,0,0,0
MTN,2012,Summer,0,0,0,0
GEQ,2012,Summer,0,0,0,0
ASA,2012,Summer,0,0,0,0
SOM,2012,Summer,0,0,0,0
BIH,2012,Summer,0,0,0,0
TGA,2012,Summer,0,0,0,0
CAY,2012,Summer,0,0,0,0
DMA,2012,Summer,0,0,0,0
MHL,2012,Summer,0,0,0,0
TAN,2012,Summer,0,0,0,0
SMR,2012,Summer,0,0,0,0
ISV,2012,Summer,0,0,0,0
SWZ,2012,Summer,0,0,0,0
LIE,2012,Summer,0,0,0,0
ARU,2012,Summer,0,0,0,0
LAO,2012,Summer,0,0,0,0
PNG,2012,Summer,0,0,0,0
COD,2012,Summer,0,0,0,0
BUR,2012,Summer,0,0,0,0
SOL,2012,Summer,0,0,0,0
TUV,2012,Summer,0,0,0,0
LES,2012,Summer,0,0,0,0
BRU,2012,Summer,0,0,0,0
CPV,2012,Summer,0,0,0,0
BIZ,2012,Summer,0,0,0,0
TLS,2012,Summer,0,0,0,0
CHA,2012,Summer,0,0,0,0
SUR,2012,Summer,0,0,0,0
SLE,2012,Summer,0,0,0,0
MAW,2012,Summer,0,0,0,0
ROU,2016,Summer,10,2,4,36
ESP,2016,Summer,17,19,9,119
ITA,2016,Summer,24,40,8,184
AZE,2016,Summer,10,7,1,36
ALG,2016,Summer,0,2,0,6
BRN,2016,Summer,0,1,1,8
NED,2016,Summer,13,25,9,133
IRQ,2016,Summer,0,0,0,0
IRL,2016,Summer,0,3,0,9
USA,2016,Summer,71,54,139,928
EGY,2016,Summer,3,0,0,3
IRI,2016,Summer,4,1,3,22
BEL,2016,Summer,2,17,2,63
CMR,2016,Summer,0,0,0,0
KAZ,2016,Summer,10,5,3,40
BRU,2016,Summer,0,0,0,0
UZB,2016,Summer,7,2,4,33
TJK,2016,Summer,0,0,1,5
RUS,2016,Summer,35,28,52,379
CAN,2016,Summer,61,4,4,93
GER,2016,Summer,67,43,49,441
MEX,2016,Summer,2,3,0,11
ETH,2016,Summer,5,2,1,16
SRI,2016,Summer,0,0,0,0
ARM,2016,Summer,0,3,1,14
KEN,2016,Summer,1,6,6,49
FRA,2016,Summer,21,55,20,286
NGR,2016,Summer,18,0,0,18
BRA,2016,Summer,6,8,36,210
ARG,2016,Summer,0,1,21,108
AUS,2016,Summer,25,34,23,242
CHI,2016,Summer,0,0,0,0
SUI,2016,Summer,2,3,6,41
BLR,2016,Summer,7,4,1,24
GUY,2016,Summer,0,0,0,0
GEO,2016,Summer,4,1,2,17
POR,2016,Summer,1,0,0,1
COL,2016,Summer,3,2,3,24
DJI,2016,Summer,0,0,0,0
JOR,2016,Summer,0,0,1,5
PLE,2016,Summer,0,0,0,0
KSA,2016,Summer,0,0,0,0
IND,2016,Summer,1,1,0,4
GHA,2016,Summer,0,0,0,0
HON,2016,Summer,0,0,0,0
ESA,2016,Summer,0,0,0,0
VEN,2016,Summer,2,1,0,5
TKM,2016,Summer,0,0,0,0
JPN,2016,Summer,34,13,17,158
SKN,2016,Summer,0,0,0,0
GBR,2016,Summer,26,55,64,511
TUR,2016,Summer,4,3,1,18
ERI,2016,Summer,0,0,0,0
UGA,2016,Summer,0,0,0,0
MGL,2016,Summer,1,1,0,4
LTU,2016,Summer,5,2,0,11
NAM,2016,Summer,0,0,0,0
KGZ,2016,Summer,0,0,0,0
PUR,2016,Summer,0,0,1,5
MAS,2016,Summer,1,7,0,22
SAM,2016,Summer,0,0,0,0
ANG,2016,Summer,0,0,0,0
RSA,2016,Summer,14,7,2,45
GRE,2016,Summer,3,1,3,21
NOR,2016,Summer,19,0,0,19
CUB,2016,Summer,4,2,5,35
PAR,2016,Summer,0,0,0,0
INA,2016,Summer,0,2,2,16
BAN,2016,Summer,0,0,0,0
CIV,2016,Summer,1,0,1,6
TTO,2016,Summer,1,0,0,1
CHN,2016,Summer,37,30,46,357
SGP,2016,Summer,0,0,1,5
MAR,2016,Summer,1,0,0,1
SWE,2016,Summer,3,23,2,82
UKR,2016,Summer,5,8,2,39
TUN,2016,Summer,3,0,0,3
IOA,2016,Summer,1,0,1,6
OMA,2016,Summer,0,0,0,0
QAT,2016,Summer,0,1,0,3
UAE,2016,Summer,1,0,0,1
MDA,2016,Summer,0,0,0,0
MRI,2016,Summer,0,0,0,0
BUL,2016,Summer,6,1,0,9
SRB,2016,Summer,13,27,14,164
VIN,2016,Summer,0,0,0,0
AUT,2016,Summer,2,0,0,2
CRC,2016,Summer,0,0,0,0
SUD,2016,Summer,0,0,0,0
MAD,2016,Summer,0,0,0,0
PAK,2016,Summer,0,0,0,0
CHA,2016,Summer,0,0,0,0
BIH,2016,Summer,0,0,0,0
PHI,2016,Summer,0,1,0,3
CAY,2016,Summer,0,0,0,0
SYR,2016,Summer,0,0,0,0
EST,2016,Summer,4,0,0,4
SEY,2016,Summer,0,0,0,0
ECU,2016,Summer,0,0,0,0
PAN,2016,Summer,0,0,0,0
GAB,2016,Summer,0,0,0,0
BAH,2016,Summer,5,0,1,10
ISR,2016,Summer,2,0,0,2
THA,2016,Summer,2,2,2,18
BOT,2016,Summer,0,0,0,0
ROT,2016,Summer,0,0,0,0
KOR,2016,Summer,10,3,13,84
DEN,2016,Summer,16,10,15,121
CPV,2016,Summer,0,0,0,0
POL,2016,Summer,10,3,3,34
DOM,2016,Summer,1,0,0,1
HUN,2016,Summer,7,3,12,76
CZE,2016,Summer,12,2,1,23
BEN,2016,Summer,0,0,0,0
URU,2016,Summer,0,0,0,0
NZL,2016,Summer,5,25,6,110
LAT,2016,Summer,0,0,0,0
AND,2016,Summer,0,0,0,0
CYP,2016,Summer,0,0,0,0
JAM,2016,Summer,2,17,11,108
COM,2016,Summer,0,0,0,0
LBA,2016,Summer,0,0,0,0
HKG,2016,Summer,0,0,0,0
LCA,2016,Summer,0,0,0,0
MOZ,2016,Summer,0,0,0,0
FSM,2016,Summer,0,0,0,0
TOG,2016,Summer,0,0,0,0
MTN,2016,Summer,0,0,0,0
YEM,2016,Summer,0,0,0,0
CRO,2016,Summer,2,15,7,82
ANT,2016,Summer,0,0,0,0
AFG,2016,Summer,0,0,0,0
MKD,2016,Summer,0,0,0,0
SVK,2016,Summer,0,5,3,30
GUI,2016,Summer,0,0,0,0
FIJ,2016,Summer,0,0,13,65
LIB,2016,Summer,0,0,0,0
MNE,2016,Summer,0,0,0,0
GUA,2016,Summer,0,0,0,0
PNG,2016,Summer,0,0,0,0
ZIM,2016,Summer,0,0,0,0
GAM,2016,Summer,0,0,0,0
SLO,2016,Summer,1,2,1,12
BAR,2016,Summer,0,0,0,0
COK,2016,Summer,0,0,0,0
MLT,2016,Summer,0,0,0,0
NEP,2016,Summer,0,0,0,0
STP,2016,Summer,0,0,0,0
CGO,2016,Summer,0,0,0,0
CAF,2016,Summer,0,0,0,0
SEN,2016,Summer,0,0,0,0
PER,2016,Summer,0,0,0,0
NRU,2016,Summer,0,0,0,0
GBS,2016,Summer,0,0,0,0
LAO,2016,Summer,0,0,0,0
BDI,2016,Summer,0,1,0,3
RWA,2016,Summer,0,0,0,0
TLS,2016,Summer,0,0,0,0
ALB,2016,Summer,0,0,0,0
LUX,2016,Summer,0,0,0,0
HAI,2016,Summer,0,0,0,0
BOL,2016,Summer,0,0,0,0
FIN,2016,Summer,1,0,0,1
TPE,2016,Summer,4,0,1,9
GRN,2016,Summer,0,1,0,3
ZAM,2016,Summer,0,0,0,0
MAW,2016,Summer,0,0,0,0
PRK,2016,Summer,2,3,2,21
CAM,2016,Summer,0,0,0,0
ISV,2016,Summer,0,0,0,0
MLI,2016,Summer,0,0,0,0
MHL,2016,Summer,0,0,0,0
MON,2016,Summer,0,0,0,0
PLW,2016,Summer,0,0,0,0
VIE,2016,Summer,0,1,1,8
BER,2016,Summer,0,0,0,0
DMA,2016,Summer,0,0,0,0
GEQ,2016,Summer,0,0,0,0
TGA,2016,Summer,0,0,0,0
SOL,2016,Summer,0,0,0,0
KOS,2016,Summer,0,0,1,5
NIG,2016,Summer,0,1,0,3
ISL,2016,Summer,0,0,0,0
IVB,2016,Summer,0,0,0,0
SSD,2016,Summer,0,0,0,0
LIE,2016,Summer,0,0,0,0
TAN,2016,Summer,0,0,0,0
MYA,2016,Summer,0,0,0,0
GUM,2016,Summer,0,0,0,0
MDV,2016,Summer,0,0,0,0
SLE,2016,Summer,0,0,0,0
BIZ,2016,Summer,0,0,0,0
ASA,2016,Summer,0,0,0,0
COD,2016,Summer,0,0,0,0
BHU,2016,Summer,0,0,0,0
KIR,2016,Summer,0,0,0,0
BUR,2016,Summer,0,0,0,0
SUR,2016,Summer,0,0,0,0
LBR,2016,Summer,0,0,0,0
NCA,2016,Summer,0,0,0,0
LES,2016,Summer,0,0,0,0
VAN,2016,Summer,0,0,0,0
ARU,2016,Summer,0,0,0,0
SWZ,2016,Summer,0,0,0,0
SOM,2016,Summer,0,0,0,0
SMR,2016,Summer,0,0,0,0
TUV,2016,Summer,0,0,0,0
